"course_code","course_title","department","credits","description"
"AMAR 454","Advanced Laboratory Practices","Advanced Manufacturing and Applied Robotics (AMAR)","2 Units",""
"AMAR 458","Project Management","Advanced Manufacturing and Applied Robotics (AMAR)","3 Units",""
"AMAR 460","Robotic Manufacturing Systems","Advanced Manufacturing and Applied Robotics (AMAR)","4 Units",""
"AMAR 477","Nanoscale Device Manufacturing","Advanced Manufacturing and Applied Robotics (AMAR)","3 Units",""
"AMAR 498","Advanced Topic","Advanced Manufacturing and Applied Robotics (AMAR)","1-3 Units",""
"AMAR 499","Special Problems","Advanced Manufacturing and Applied Robotics (AMAR)","1-3 Units",""
"AFAM 170","Introduction to Black/African American Studies","African American Studies (AFAM)","3 Units  GE",""
"AFAM 211","Sport, Power, and African American Athletes","African American Studies (AFAM)","3 Units  USD",""
"AFAM 231","African American History","African American Studies (AFAM)","3 Units  GE, USD",""
"AFAM 296","African American Music","African American Studies (AFAM)","3 Units  USD",""
"AFAM 320","Hip Hop Culture","African American Studies (AFAM)","3 Units  USD",""
"AFAM 355","The Sociology of African Americans","African American Studies (AFAM)","3 Units",""
"AFAM 398","Special Topics","African American Studies (AFAM)","1-3 Units",""
"AFAM 399","Special Problems","African American Studies (AFAM)","1-3 Units",""
"AFAM 410","Contemporary Issues in Black/African American Studies","African American Studies (AFAM)","3 Units",""
"AFAM 435","Black Political Thought","African American Studies (AFAM)","3 Units  USD",""
"AFAM 498","Special Topics","African American Studies (AFAM)","1-3 Units",""
"AFRI 198","Special Topics","African Studies (AFRI)","1-3 Units",""
"AFRI 376W","Africa: Continuity and Change (W)","African Studies (AFRI)","3 Units  GC, GE, W",""
"AFRI 389","Internship in African Studies","African Studies (AFRI)","1-3 Units",""
"AFRI 398","Special Topics","African Studies (AFRI)","1-3 Units",""
"AFRI 399","Special Problems","African Studies (AFRI)","1-3 Units",""
"AFRI 447","Politics of Africa","African Studies (AFRI)","3 Units",""
"ABUS 101","Introduction to Agricultural Business and Economics","Agricultural Business (ABUS)","3 Units  GE",""
"ABUS 211","Agricultural Selling and Consulting","Agricultural Business (ABUS)","3 Units",""
"ABUS 231","Computer Applications in Agriculture","Agricultural Business (ABUS)","3 Units",""
"ABUS 250","The Economics and Business of Food Safety","Agricultural Business (ABUS)","3 Units",""
"ABUS 261","Farm Accounting","Agricultural Business (ABUS)","3 Units",""
"ABUS 262","Management Accounting for Agriculture","Agricultural Business (ABUS)","3 Units",""
"ABUS 298","Special Topics","Agricultural Business (ABUS)","1-3 Units",""
"ABUS 299","Special Problems","Agricultural Business (ABUS)","1-3 Units",""
