Course Code,Course Name,Credits,Level
ARTCR 62351,Advanced Sculpture 3,3,Graduate
ARTCR 62155,Advanced Sculpture I,3,Graduate
ARTCR 62200,Advanced Sculpture II,3,Graduate
ARTCR 62359,Advanced Sculpture III,3,Graduate
ARTCR 62150,Advanced Sculpture Tutor 1,3,Graduate
ARTCR 62160,Advanced Sculpture Tutor 1,3,Graduate
ARTCR 62162,Advanced Sculpture Tutor 1,3,Graduate
ARTCR 62153,Advanced Sculpture Tutor 1,3,Graduate
ARTCR 62158,Advanced Sculpture Tutor 1,3,Graduate
ARTCR 62170,Advanced Sculpture Tutor 1,3,Graduate
ARTCR 62169,Advanced Sculpture Tutor 1,3,Graduate
ARTCR 62167,Advanced Sculpture Tutor 1,3,Graduate
ARTCR 62171,Advanced Sculpture Tutor 1,3,Graduate
ARTCR 62258,Advanced Sculpture Tutor 2,3,Graduate
ARTCR 62271,Advanced Sculpture Tutor 2,3,Graduate
ARTCR 62262,Advanced Sculpture Tutor 2,3,Graduate
ARTCR 62269,Advanced Sculpture Tutor 2,3,Graduate
ARTCR 62253,Advanced Sculpture Tutor 2,3,Graduate
ARTCR 62270,Advanced Sculpture Tutor 2,3,Graduate
ARTCR 62278,Advanced Sculpture Tutor 2,3,Graduate
ARTCR 62252,Advanced Sculpture Tutor 2,3,Graduate
ARTCR 62254,Advanced Sculpture Tutor 2,3,Graduate
ARTCR 62260,Advanced Sculpture Tutor 2,3,Graduate
ARTCR 62261,Advanced Sculpture Tutor 2,3,Graduate
ARTCR 62371,Advanced Sculpture Tutor 3,3,Graduate
ARTCR 62350,Advanced Sculpture Tutor 3,3,Graduate
ARTCR 62369,Advanced Sculpture Tutor 3,3,Graduate
ARTCR 62354,Advanced Sculpture Tutor 3,3,Graduate
ARTCR 62362,Advanced Sculpture Tutor 3,3,Graduate
ARTCR 62367,Advanced Sculpture Tutor 3,3,Graduate
ARTCR 62360,Advanced Sculpture Tutor 3,3,Graduate
ARTCR 62378,Advanced Sculpture Tutor 3,3,Graduate
ARTCR 62352,Advanced Sculpture Tutor 3,3,Graduate
ARTCR 62353,Advanced Sculpture Tutor 3,3,Graduate
ARTCR 62363,Advanced Sculpture Tutor 3,3,Graduate
ARTCR 62370,Advanced Sculpture Tutor 3,3,Graduate
ARTCR 62361,Advanced Sculpture Tutor 3,3,Graduate
ARTCR 62250,Advanced Sculpture Tutor II,3,Graduate
ARTCR 62267,Advanced Sculpture Tutor II,3,Graduate
ARTCR 62161,Advanced Sculpture Tutorial,3,Graduate
ARTCR 62152,Advanced Sculpture Tutorial 1,3,Graduate
ARTCR 62163,Advanced Sculpture Tutorial 1,3,Graduate
ARTCR 62154,Advanced Sculpture Tutorial I,3,Graduate
ARTCR 62263,Advanced Sculpture Tutorial II,3,Graduate
ARTCR 62358,Advanced Sculpture Tutorial III,3,Graduate
SSW 75400,Advanced Social Work Research,3,Graduate
MUS 72400,Advanced Studies In Music Theory 1,3,Graduate
MUS 72500,Advanced Studies in Music Theory II,3,Graduate
MUS 75100,Advanced Studies in Musicology 1,3,Graduate
MUS 75200,Advanced Studies in Musicology 2,3,Graduate
ARTH 7802T,Advanced Studies: Print Matters,3,Graduate
IMA 75500,Advanced Studio: Documentary,3,Graduate
IMA 75400,Advanced Studio: Emerging Media,3,Graduate
IMA 79562,Advanced Studio: Visions,3,Graduate
SEDC 721FW,Advanced Study of Teaching English Methods to a Diverse Population in Grades 7-12,3,Graduate
SEDC 71100,Advanced Study of Young Adult Literature in our Diverse Society,3,Graduate
NURS 60N02,Advanced Synthesis of Psychiatric Mental Health Nurse Practitioner Knowledge & Practice,2,Graduate
ENGL 70294,Advanced Theory Coll,3,Graduate
SPAN 60100,Advanced to Superior Spanish Grammar and Writing,3,Graduate
CSCI 79551,Advanced Topics,3,Graduate
